Receptors ,Ligand
TNFRSF9,TNFSF9
TNFRSF14,BTLA
CD27,CD70
CD28,CD80
CD226,NECTIN2
CD226,PVR
CD200R1,CD200
CTLA4,CD86
CTLA4,CD80
ICOS,ICOSLG
HAVCR2,LGALS9
HAVCR2,CEACAM1
HAVCR2,HMGB1
PDCD1,CD274
PDCD1,PDCD1LG2
SIRPA,CD47
TIGIT,NECTIN2
TIGIT,NECTIN4
TIGIT,NECTIN3
TIGIT,PVR
LAG3,FGL1
LAG3,SNCA
LAG3,LGALS3
LAG3,CLEC4G
VTCN1,BTLA
VTCN1,PDCD1LG2
NT5E,ENTPD1
PVRIG,NECTIN2
TNFRSF18,TNFSF18
BTN2A1,TRDV2
BTN2A1,TRGV9
BTN2A1,TRDC
BTN3A1,TRDV2
BTN3A1,TRGV9
BTN3A1,TRDC
TNFRSF11A,TNFSF11
CD40,CD40LG
KLRC1,HLA-E
LTBR,TNFSF14
LTBR,LTB
LTBR,LTA
TNFRSF14,TNFSF14
VSIR,IGSF11
TNFRSF4,TNFSF4
TNFRSF12A,TNFSF12
