Receptors ,Ligand
Tnfrsf9,Tnfsf9
Tnfrsf14,Btla
Tnfrsf10b,Btla
Cd27,Cd70
Cd28,Cd80
Cd226,Nectin2
Cd226,Pvr
Cd200r1,Cd200
Cd200r2,Cd200
Cd200r3,Cd200
Cd200r4,Cd200
Ctla4,Cd80
Ctla4,Cd86
Icos,Icoslg
Havcr2,Hmgb1
Havcr2,Lgals9
Havcr2,Ceacam1
Pdcd1,Pdcd1lg2
Pdcd1,Cd274
Gm9733,Cd47
Sirpb1a,Cd47
Sirpb1b,Cd47
Sirpb1c,Cd47
Gm5150,Cd47
Sirpa,Cd47
Tigit,Nectin2
Tigit,Nectin3
Tigit,Nectin4
Tigit,Pvr
Lag3,Clec4g
Lag3,Lgals3
Lag3,Fgl1
Lag3,Snca
Vtcn1,Pdcd1lg2
Vtcn1,Btla
Klrc1,H2-T23
Nt5e,Entpd1
Pvrig,Nectin2
Tnfrsf18,Tnfsf18
Gm36028,Trdc
Tnfrsf11a,Tnfsf11
Cd40,Cd40lg
Ltbr,Tnfsf14
Ltbr,Ltb
Ltbr,Lta
Tnfrsf14,Tnfsf14
Tnfrsf14,Tnfsf14
Tnfrsf12a,Tnfsf12
