"","x"
"1","Terf1"
"2","Tceb1"
"3","Mcm3"
"4","Prim2"
"5","Cox5b"
"6","Tex30"
"7","Hspd1"
"8","Sgol2a"
"9","Bzw1"
"10","Sumo1"
"11","Nop58"
"12","Bard1"
"13","Ncl"
"14","Ptma"
"15","Hjurp"
"16","Pask"
"17","Dtymk"
"18","Dbi"
"19","Mcm6"
"20","Nucks1"
"21","Snrpe"
"22","Ube2t"
"23","Ptpn7"
"24","Csrp1"
"25","Kif14"
"26","Aspm"
"27","Uchl5"
"28","Mrps14"
"29","Cenpl"
"30","BC055324"
"31","Nuf2"
"32","Exo1"
"33","Hnrnpu"
"34","H3f3a"
"35","Lbr"
"36","Cenpf"
"37","Nsl1"
"38","Dtl"
"39","Nek2"
"40","Hspa14"
"41","Sephs1"
"42","Mcm10"
"43","Cdc123"
"44","Nudt5"
"45","Nebl"
"46","Mastl"
"47","Tubb4b"
"48","Ssna1"
"49","Sapcd2"
"50","Set"
"51","Swi5"
"52","Strbp"
"53","Psmb7"
"54","Rif1"
"55","Prpf40a"
"56","Arl6ip6"
"57","Psmd14"
"58","Spc25"
"59","Ssb"
"60","Hat1"
"61","Cdca7"
"62","Atp5g3"
"63","Hnrnpa3"
"64","Ube2e3"
"65","2700094K13Rik"
"66","Slc43a3"
"67","Ssrp1"
"68","Psmc3"
"69","Ckap5"
"70","Rag2"
"71","Kif18a"
"72","Ccdc34"
"73","Nop10"
"74","Arhgap11a"
"75","Bub1b"
"76","Knstrn"
"77","Casc5"
"78","Rad51"
"79","Oip5"
"80","Nusap1"
"81","Wdr76"
"82","Slc24a5"
"83","Myef2"
"84","Dut"
"85","Ncaph"
"86","Bub1"
"87","Ckap2l"
"88","Snrpb"
"89","Nop56"
"90","Itpa"
"91","Cdc25b"
"92","Pcna"
"93","Nxt1"
"94","Gins1"
"95","Tpx2"
"96","Mapre1"
"97","E2f1"
"98","Raly"
"99","Eif2s2"
"100","Dsn1"
"101","Rbl1"
"102","Srsf6"
"103","Mybl2"
"104","Ada"
"105","Ube2c"
"106","Pfdn4"
"107","Aurka"
"108","Slmo2"
"109","Psma7"
"110","Suv39h1"
"111","Rbm3"
"112","Ndufb11"
"113","Slc25a5"
"114","Sh2d1a"
"115","Mbnl3"
"116","Hprt"
"117","Rbmx"
"118","Hmgb3"
"119","Lage3"
"120","Fundc2"
"121","Pola1"
"122","Apoo"
"123","Kif4"
"124","Nono"
"125","Ercc6l"
"126","Hmgn5"
"127","Cstf2"
"128","Cenpi"
"129","Wbp5"
"130","Ngfrap1"
"131","Prps1"
"132","Smc1a"
"133","Prdx4"
"134","Eif1ax"
"135","Rbbp7"
"136","Gm8797"
"137","Ect2"
"138","Actl6a"
"139","Ccna2"
"140","Plk4"
"141","Ndufc1"
"142","Exosc8"
"143","Smc4"
"144","Trim59"
"145","Ppid"
"146","4930579G24Rik"
"147","Mnd1"
"148","Hdgf"
"149","Iqgap3"
"150","Pmf1"
"151","Dap3"
"152","Fdps"
"153","Cks1b"
"154","Ilf2"
"155","Tdrkh"
"156","Anp32e"
"157","Sf3b4"
"158","Hist2h2ac"
"159","Hist2h2aa1"
"160","Hist2h3b"
"161","Hist2h2bb"
"162","Hist2h2bb.1"
"163","Rbm8a"
"164","Phgdh"
"165","Ttf2"
"166","Slc16a1"
"167","Atp5f1"
"168","Psrc1"
"169","Gpsm2"
"170","Gclm"
"171","Larp7"
"172","Gar1"
"173","Pla2g12a"
"174","Cenpe"
"175","H2afz"
"176","Eif4e"
"177","Depdc1a"
"178","Ccne2"
"179","Mms22l"
"180","Casp8ap2"
"181","Ndufb6"
"182","Kif24"
"183","Arhgef39"
"184","Melk"
"185","Hemgn"
"186","Anp32b"
"187","Smc2"
"188","Txn1"
"189","Ptgr1"
"190","Pole3"
"191","Cdk5rap2"
"192","Psip1"
"193","Usp1"
"194","Lrrc42"
"195","Hspb11"
"196","Magoh"
"197","Cdkn2c"
"198","Stil"
"199","Rad54l"
"200","Nasp"
"201","Prdx1"
"202","Kif2c"
"203","Cdc20"
"204","Ybx1"
"205","Ppih"
"206","Ndufs5"
"207","Sf3a3"
"208","Cdca8"
"209","Clspn"
"210","Psmb2"
"211","Rbbp4"
"212","Marcksl1"
"213","Hdac1"
"214","Lck"
"215","Snrnp40"
"216","Srsf4"
"217","Rcc1"
"218","Atpif1"
"219","Rpa2"
"220","Nudc"
"221","Hmgn2"
"222","Stmn1"
"223","Aunip"
"224","Srrm1"
"225","Srsf10"
"226","E2f2"
"227","Hnrnpr"
"228","Hp1bp3"
"229","Minos1"
"230","Sdhb"
"231","Srm"
"232","Apitd1"
"233","Park7"
"234","Acot7"
"235","Dbf4"
"236","Rheb"
"237","Tyms"
"238","Cenpa"
"239","Ywhah"
"240","Slbp"
"241","Tacc3"
"242","Whsc1"
"243","Lyar"
"244","Ncapg"
"245","Rfc1"
"246","Paics"
"247","Cenpc1"
"248","Dck"
"249","Hnrnpd"
"250","Mrps18c"
"251","Cdc7"
"252","Mtf2"
"253","Ccdc18"
"254","Atp5k"
"255","Pole"
"256","Ung"
"257","Dynll1"
"258","Cit"
"259","Rfc5"
"260","Ppp1cc"
"261","Fam216a"
"262","Anapc5"
"263","Kntc1"
"264","Setd8"
"265","Ran"
"266","Rfc2"
"267","Eif4h"
"268","Baz1b"
"269","Mdh2"
"270","Cux1"
"271","Srrt"
"272","Ppp1r35"
"273","Mcm7"
"274","Nudt1"
"275","Pdap1"
"276","Atp5j2"
"277","Hmgb1"
"278","Brca2"
"279","Rfc3"
"280","Rpa3"
"281","Ndufa4"
"282","Lsm8"
"283","Chchd3"
"284","Mrps33"
"285","Trbc1"
"286","Trbc2"
"287","Ezh2"
"288","Cycs"
"289","Hnrnpa2b1"
"290","Cbx3"
"291","Lsm5"
"292","Mad2l1"
"293","Serbp1"
"294","Cd8b1"
"295","Cd8a"
"296","Mthfd2"
"297","Pradc1"
"298","Cct7"
"299","Snrpg"
"300","Pcbp1"
"301","Cnbp"
"302","H1fx"
"303","Ruvbl1"
"304","Mcm2"
"305","Lsm3"
"306","Edem1"
"307","Rad18"
"308","Fancd2"
"309","Zfp422"
"310","Hnrnpf"
"311","Cdca3"
"312","Gapdh"
"313","Ncapd2"
"314","Mrpl51"
"315","Rad51ap1"
"316","Rhno1"
"317","Foxm1"
"318","Fkbp4"
"319","Lockd"
"320","Lrmp"
"321","Ube2s"
"322","Trim28"
"323","Lig1"
"324","Sae1"
"325","Calm3"
"326","Snrpd2"
"327","Snrpa"
"328","Psmc4"
"329","Timm50"
"330","Hnrnpl"
"331","Spint2"
"332","Haus5"
"333","Uba2"
"334","Cep89"
"335","Ccne1"
"336","Pold1"
"337","Nup62"
"338","Prmt1"
"339","Ldha"
"340","E2f8"
"341","Snrpa1"
"342","Ticrr"
"343","Prc1"
"344","Blm"
"345","Ndufc2"
"346","Aqp11"
"347","Spcs2"
"348","Pold3"
"349","Anapc15"
"350","Rrm1"
"351","Arl6ip1"
"352","Ccp110"
"353","Ndufab1"
"354","Plk1"
"355","Nsmce1"
"356","Hirip3"
"357","Maz"
"358","Kif22"
"359","Mylpf"
"360","Dctpp1"
"361","Bcl7c"
"362","Nsmce4a"
"363","Bub3"
"364","Mki67"
"365","Fbxo5"
"366","Nup43"
"367","Mtfr2"
"368","Cenpw"
"369","Hdac2"
"370","Asf1a"
"371","Ppa1"
"372","Rtkn2"
"373","Cdk1"
"374","Cisd1"
"375","Snrpd3"
"376","Mif"
"377","Sumo3"
"378","Dazap1"
"379","Oaz1"
"380","Lsm7"
"381","Lmnb2"
"382","Fzr1"
"383","Nfyb"
"384","1500009L16Rik"
"385","Parpbp"
"386","Nup37"
"387","Gas2l3"
"388","Tmpo"
"389","Snrpf"
"390","Metap2"
"391","Ndufa12"
"392","Mrpl42"
"393","Ube2n"
"394","E2f7"
"395","Nap1l1"
"396","Mdm1"
"397","Cdk4"
"398","Prim1"
"399","Atp5b"
"400","Timeless"
"401","Pa2g4"
"402","Cdk2"
"403","Sarnp"
"404","Shcbp1"
"405","Tfdp1"
"406","Ckap2"
"407","Vdac3"
"408","Eri1"
"409","Cenpu"
"410","Neil3"
"411","Hmgb2"
"412","2700029M09Rik"
"413","Lsm4"
"414","Ankle1"
"415","Pgls"
"416","Fcho1"
"417","Gm10282"
"418","Mcm5"
"419","Rbmxl1"
"420","Lsm6"
"421","Smarca5"
"422","Ddx39"
"423","Asf1b"
"424","Samd1"
"425","Syce2"
"426","Orc6"
"427","Nudt21"
"428","Gins3"
"429","Gm8730"
"430","Ctcf"
"431","Enkd1"
"432","Nutf2"
"433","Rfwd3"
"434","Cmc2"
"435","Cenpn"
"436","Gins2"
"437","Emc8"
"438","Cdt1"
"439","Thoc7"
"440","Dnajc9"
"441","Adk"
"442","Pbrm1"
"443","Nt5dc2"
"444","Colq"
"445","Psmc6"
"446","Cdkn3"
"447","Wdhd1"
"448","Dlgap5"
"449","Apex1"
"450","Hnrnpc"
"451","Supt16"
"452","Trdc"
"453","Haus4"
"454","Sap18"
"455","Ska3"
"456","Rnaseh2b"
"457","Pbk"
"458","Esco2"
"459","Cdca2"
"460","Reep4"
"461","Rgcc"
"462","Diaph3"
"463","Mzt1"
"464","Bora"
"465","Uchl3"
"466","Cep57"
"467","Pin1"
"468","Dnmt1"
"469","Cdkn2d"
"470","Spc24"
"471","Elof1"
"472","Anln"
"473","9530077C05Rik"
"474","Ncapd3"
"475","Chek1"
"476","Thy1"
"477","Rnf26"
"478","H2afx"
"479","Rdx"
"480","Psma4"
"481","Etfa"
"482","Cox5a"
"483","Kif23"
"484","Anp32a"
"485","Zwilch"
"486","Tipin"
"487","Pif1"
"488","2810417H13Rik"
"489","Rps27l"
"490","Anxa2"
"491","Gtf2a2"
"492","Ccnb2"
"493","Mns1"
"494","Arpp19"
"495","Cox7a2"
"496","Irak1bp1"
"497","Ttk"
"498","Syncrip"
"499","Stag1"
"500","Topbp1"
"501","Cdv3"
"502","Poc1a"
"503","Traip"
"504","Impdh2"
"505","Smarcc1"
"506","Arpp21"
"507","Kif15"
"508","Uqcr10"
"509","Ewsr1"
"510","Pold2"
"511","Ppia"
"512","H2afv"
"513","Fignl1"
"514","C1d"
"515","Mdh1"
"516","Commd1"
"517","Snrnp25"
"518","Npm1"
"519","Spdl1"
"520","Hmmr"
"521","Nudcd2"
"522","Hnrnpab"
"523","Nhp2"
"524","Cdkn2aipnl"
"525","Skp1a"
"526","Tcf7"
"527","Vdac1"
"528","Hint1"
"529","G3bp1"
"530","Cops3"
"531","Shmt1"
"532","Ubb"
"533","Aurkb"
"534","Eif4a1"
"535","Eif5a"
"536","Psmb6"
"537","Fam64a"
"538","Rpa1"
"539","Ywhae"
"540","Spag5"
"541","Tmem97"
"542","Lgals9"
"543","Suz12"
"544","Atad5"
"545","AI662270"
"546","Brip1"
"547","Prr11"
"548","Ska2"
"549","Dynll2"
"550","Srsf1"
"551","Dgkeos"
"552","Nme1"
"553","Eme1"
"554","Cbx1"
"555","Cdc6"
"556","Top2a"
"557","Nt5c3b"
"558","Psmc3ip"
"559","Tubg1"
"560","Brca1"
"561","Rdm1"
"562","BC030867"
"563","Kpna2"
"564","Ict1"
"565","Atp5h"
"566","Hn1"
"567","Sumo2"
"568","Nup85"
"569","Galk1"
"570","H3f3b"
"571","Ubald2"
"572","Srsf2"
"573","Tk1"
"574","Birc5"
"575","Eif4a3"
"576","Alyref"
"577","Stra13"
"578","Idi1"
"579","Psma2"
"580","Hist1h2bl"
"581","Hist1h2ai"
"582","Hist1h2bm"
"583","Hist1h4j"
"584","Hist1h4k"
"585","Hist1h2ak"
"586","Hist1h2bn"
"587","Hist1h1b"
"588","Hist1h3i"
"589","Hist1h2an"
"590","Hist1h2bp"
"591","Hist1h2ap"
"592","Hist1h2bk"
"593","Hist1h4i"
"594","Hist1h2ag"
"595","Hist1h2bj"
"596","Hist1h4h"
"597","Hist1h2af"
"598","Hist1h3g"
"599","Hist1h2bh"
"600","Hist1h3f"
"601","Hist1h4f"
"602","Hist1h1d"
